Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\obj\Debug\net9.0-windows\Controls\OptionsEditor.g.i.cs,143,12,T:System.Windows.Controls.TextBox,,,,,this.includeCharactersTextBox = ((System.Windows.Controls.TextBox)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\obj\Debug\net9.0-windows\Controls\OptionsEditor.g.i.cs,140,12,T:System.Windows.Controls.Grid,,,,,this.characterGroupsGrid = ((System.Windows.Controls.Grid)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\obj\Debug\net9.0-windows\Controls\OptionsEditor.g.i.cs,134,12,T:System.Windows.Input.KeyEventHandler,,,,,this.LengthUpDown.PreviewKeyDown += new System.Windows.Input.KeyEventHandler(this.PreviewKeyDownIgnoreSpace);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\obj\Debug\net9.0-windows\Controls\OptionsEditor.g.i.cs,134,12,T:System.Windows.Input.KeyEventHandler,,,,,this.LengthUpDown.PreviewKeyDown += new System.Windows.Input.KeyEventHandler(this.PreviewKeyDownIgnoreSpace);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\obj\Debug\net9.0-windows\Controls\OptionsEditor.g.i.cs,134,12,E:System.Windows.UIElement.PreviewKeyDown,,,,,this.LengthUpDown.PreviewKeyDown += new System.Windows.Input.KeyEventHandler(this.PreviewKeyDownIgnoreSpace);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\obj\Debug\net9.0-windows\Controls\OptionsEditor.g.i.cs,128,12,T:System.Windows.Input.TextCompositionEventHandler,,,,,this.LengthUpDown.PreviewTextInput += new System.Windows.Input.TextCompositionEventHandler(this.PreviewTextInputForPositiveIntegers);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\obj\Debug\net9.0-windows\Controls\OptionsEditor.g.i.cs,128,12,T:System.Windows.Input.TextCompositionEventHandler,,,,,this.LengthUpDown.PreviewTextInput += new System.Windows.Input.TextCompositionEventHandler(this.PreviewTextInputForPositiveIntegers);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\obj\Debug\net9.0-windows\Controls\OptionsEditor.g.i.cs,128,12,E:System.Windows.UIElement.PreviewTextInput,,,,,this.LengthUpDown.PreviewTextInput += new System.Windows.Input.TextCompositionEventHandler(this.PreviewTextInputForPositiveIntegers);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\obj\Debug\net9.0-windows\Controls\OptionsEditor.g.i.cs,109,12,T:System.Windows.Application,,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\obj\Debug\net9.0-windows\Controls\OptionsEditor.g.i.cs,109,12,"M:System.Windows.Application.LoadComponent(System.Object,System.Uri)",,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\obj\Debug\net9.0-windows\Controls\OptionsEditor.g.i.cs,106,12,T:System.Uri,,,,,"System.Uri resourceLocater = new System.Uri(""/PasswordMakerWpf;component/controls/optionseditor.xaml"", System.UriKind.Relative);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\obj\Debug\net9.0-windows\Controls\OptionsEditor.g.i.cs,106,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"System.Uri resourceLocater = new System.Uri(""/PasswordMakerWpf;component/controls/optionseditor.xaml"", System.UriKind.Relative);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\obj\Debug\net9.0-windows\Controls\OptionsEditor.g.i.cs,89,50,T:System.Windows.Controls.CheckBox,,,,,allowMultiplesCheckBox
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\obj\Debug\net9.0-windows\Controls\OptionsEditor.g.i.cs,81,50,T:System.Windows.Controls.CheckBox,,,,,excludeLookAlikeCheckBox
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\obj\Debug\net9.0-windows\Controls\OptionsEditor.g.i.cs,73,49,T:System.Windows.Controls.TextBox,,,,,excludeCharactersTextBox
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\obj\Debug\net9.0-windows\Controls\OptionsEditor.g.i.cs,65,49,T:System.Windows.Controls.TextBox,,,,,includeCharactersTextBox
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\obj\Debug\net9.0-windows\Controls\OptionsEditor.g.i.cs,57,46,T:System.Windows.Controls.Grid,,,,,characterGroupsGrid
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\Controls\OptionsEditor.xaml.cs,79,4,T:System.Windows.DataObjectPastingEventArgs,,,,,"private void OnPaste(object sender, DataObjectPastingEventArgs e)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\Controls\OptionsEditor.xaml.cs,84,12,M:System.Windows.DataObjectEventArgs.CancelCommand,,,,,e.CancelCommand();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\Controls\OptionsEditor.xaml.cs,83,8,T:System.Windows.DataFormats,,,,,"if (!int.TryParse((string)e.DataObject.GetData(DataFormats.Text), out _))              e.CancelCommand();"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\Controls\OptionsEditor.xaml.cs,83,8,F:System.Windows.DataFormats.Text,,,,,"if (!int.TryParse((string)e.DataObject.GetData(DataFormats.Text), out _))              e.CancelCommand();"
